Designator,Mid X,Mid Y,Layer,Rotation
C1,170.180000mm,-71.198500mm,Top,90
C2,173.736000mm,-71.198500mm,Top,90
C3,164.924500mm,-67.564000mm,Top,0
C4,167.972500mm,-61.214000mm,Top,0
C5,144.526000mm,-71.628000mm,Top,90
C8,204.216000mm,-122.682000mm,Top,270
C9,204.216000mm,-105.203000mm,Top,90
C10,189.230000mm,-122.475000mm,Top,270
C11,189.230000mm,-105.109000mm,Top,90
C12,169.418000mm,-104.793000mm,Top,270
C14,135.382000mm,-80.185500mm,Top,90
C15,140.540500mm,-82.550000mm,Top,0
C17,110.826000mm,-109.982000mm,Top,0
C20,95.504000mm,-105.363000mm,Top,90
C21,95.504000mm,-121.967000mm,Top,270
C22,79.756000mm,-121.713000mm,Top,270
C23,79.756000mm,-105.363000mm,Top,90
D1,176.276000mm,-71.374000mm,Top,90
D2,170.180000mm,-76.632000mm,Top,90
D3,173.736000mm,-76.632000mm,Top,270
D5,162.814000mm,-126.492000mm,Top,0
D6,156.794000mm,-99.568000mm,Top,0
D7,122.098000mm,-106.172000mm,Top,180
D9,62.484000mm,-112.280000mm,Top,270
R1,176.276000mm,-67.310000mm,Top,90
R2,154.686000mm,-60.132000mm,Top,90
R3,164.084000mm,-62.230000mm,Top,90
R4,166.878000mm,-79.060000mm,Top,270
R5,163.642000mm,-80.010000mm,Top,0
R6,141.478000mm,-73.406000mm,Top,270
R7,162.560000mm,-84.770000mm,Top,270
R8,166.862000mm,-119.126000mm,Top,0
R9,166.878000mm,-121.666000mm,Top,0
R10,158.242000mm,-106.230000mm,Top,270
R11,138.618000mm,-79.248000mm,Top,180
R12,62.484000mm,-116.144000mm,Top,270
